Prioridade;Segmento;Produto;Preço;Link;Shopee;Segmento_Original
978;Playstation 5;Sony PlayStation 5 Digital Console 30th Anniversary Limited Edition;US$700;https://www.facebook.com/marketplace/item/1284768090116943/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Sony%20PlayStation%205%20Digital%20Console%2030th%20Anniversary%20Limited%20Edition;Playstation 5
977;Whey protein;Mre cookies and cream protein 12 pack;US$30;https://www.facebook.com/marketplace/item/1472947974175392/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4e944566-3941-48c0-b254-9cdac29dc612&__tn__=!%3AD;https://shopee.com.br/search?keyword=Mre%20cookies%20and%20cream%20protein%2012%20pack;Whey protein
977;Creatina;Peach Perfect Creatine Powder;US$7;https://www.facebook.com/marketplace/item/1406109034353975/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=Peach%20Perfect%20Creatine%20Powder;Creatina
977;Iphone 13;Apple iPhone 13 Pro Max 128 GB in Graphite Unlocked YCM3-VA;US$104;https://www.facebook.com/marketplace/item/1405411694384515/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD;https://shopee.com.br/search?keyword=Apple%20iPhone%2013%20Pro%20Max%20128%20GB%20in%20Graphite%20Unlocked%20YCM3-VA;Iphone 13
977;Perfume árabe;Vince Camuto perfume, perfume de mujer;US$25;https://www.facebook.com/marketplace/item/1671331864022485/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=Vince%20Camuto%20perfume,%20perfume%20de%20mujer;Perfume árabe
977;Smartwatch amoled;Samsung Gear S2 Smartwatch;US$45;https://www.facebook.com/marketplace/item/1432757498243691/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A40957e6c-c122-49a9-8c1b-751ef7b5e50f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Samsung%20Gear%20S2%20Smartwatch;Smartwatch amoled
977;Playstation 5;Digital PlayStation 5;"US$450
US$500";https://www.facebook.com/marketplace/item/915145831177804/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Digital%20PlayStation%205;Playstation 5
977;Air fryer;Air fryer;"US$10
US$25";https://www.facebook.com/marketplace/item/1450533726691006/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Air%20fryer;Air fryer
977;Cafeteira nespresso;De’Longhi Nespresso Espresso Machine – Works Great;"US$70
US$80";https://www.facebook.com/marketplace/item/1133463055383617/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=De’Longhi%20Nespresso%20Espresso%20Machine%20–%20Works%20Great;Cafeteira nespresso
977;Monitor 4k;"LG 27"" 1080p IPS Monitor";US$100;https://www.facebook.com/marketplace/item/2413634135732822/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A764b163f-6bf6-4f8c-ad9f-5e45651790df&__tn__=!%3AD;"https://shopee.com.br/search?keyword=LG%2027""%201080p%20IPS%20Monitor";Monitor 4k
977;Skincare;San Francisco, CA;US$25;https://www.facebook.com/marketplace/item/857929800158993/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=San%20Francisco,%20CA;Skincare
976;Cafeteira nespresso;Nespresso Vertuo Line by Breville;"US$60
US$80";https://www.facebook.com/marketplace/item/854245393898993/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=Nespresso%20Vertuo%20Line%20by%20Breville;Cafeteira nespresso
976;Playstation 5;Playstation 5. Read Description;US$1;https://www.facebook.com/marketplace/item/1653040482772819/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Playstation%205.%20Read%20Description;Playstation 5
976;Monitor 4k;NEW - Dell 32-inch curved monitor (S3222DGM) with box - $190;"US$190
US$250";https://www.facebook.com/marketplace/item/890751226679328/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A764b163f-6bf6-4f8c-ad9f-5e45651790df&__tn__=!%3AD;https://shopee.com.br/search?keyword=NEW%20-%20Dell%2032-inch%20curved%20monitor%20(S3222DGM)%20with%20box%20-%20$190;Monitor 4k
976;Whey protein;Protein coffee with free mug;US$50;https://www.facebook.com/marketplace/item/2856080441253391/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4e944566-3941-48c0-b254-9cdac29dc612&__tn__=!%3AD;https://shopee.com.br/search?keyword=Protein%20coffee%20with%20free%20mug;Whey protein
976;Creatina;South San Francisco, CA;US$35;https://www.facebook.com/marketplace/item/1508151180295020/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=South%20San%20Francisco,%20CA;Creatina
976;Perfume árabe;Hayward, CA;US$5;https://www.facebook.com/marketplace/item/1445090076958055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=Hayward,%20CA;Perfume árabe
976;Skincare;Skincare Overstock Sale CeraVe La Roche-Posay Neutrogena;US$10;https://www.facebook.com/marketplace/item/1968125593737993/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=Skincare%20Overstock%20Sale%20CeraVe%20La%20Roche-Posay%20Neutrogena;Skincare
976;Air fryer;Merced, CA;US$30;https://www.facebook.com/marketplace/item/1401631867876894/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Merced,%20CA;Air fryer
976;Smartwatch amoled;Citrus Heights, CA;US$35;https://www.facebook.com/marketplace/item/899021379376757/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A40957e6c-c122-49a9-8c1b-751ef7b5e50f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Citrus%20Heights,%20CA;Smartwatch amoled
975;Smartwatch amoled;Samsung - Galaxy Watch FE Aluminum Smartwatch 40mm LTE - Black;"US$85
US$100";https://www.facebook.com/marketplace/item/919863193907337/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A40957e6c-c122-49a9-8c1b-751ef7b5e50f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Samsung%20-%20Galaxy%20Watch%20FE%20Aluminum%20Smartwatch%2040mm%20LTE%20-%20Black;Smartwatch amoled
975;Air fryer;Gourmia 11-QT. Dual Basket Air Fryer EUC;US$45;https://www.facebook.com/marketplace/item/3265808253588894/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Gourmia%2011-QT.%20Dual%20Basket%20Air%20Fryer%20EUC;Air fryer
975;Playstation 5;PlayStation 5;US$300;https://www.facebook.com/marketplace/item/859978826749023/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=PlayStation%205;Playstation 5
975;Monitor 4k;27 inch 4k LG monitor;US$100;https://www.facebook.com/marketplace/item/919885297277224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A764b163f-6bf6-4f8c-ad9f-5e45651790df&__tn__=!%3AD;https://shopee.com.br/search?keyword=27%20inch%204k%20LG%20monitor;Monitor 4k
975;Cafeteira nespresso;Nespresso Vertuo Chrome;US$50;https://www.facebook.com/marketplace/item/1502476434568927/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=Nespresso%20Vertuo%20Chrome;Cafeteira nespresso
975;Perfume árabe;NEST Perfumes set of 5;US$65;https://www.facebook.com/marketplace/item/2067483947326431/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=NEST%20Perfumes%20set%20of%205;Perfume árabe
975;Skincare;[Brand New] The Ordinary Glycolic Acid 7% Exfoliating Toner;"US$11
US$14";https://www.facebook.com/marketplace/item/925140279982317/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=[Brand%20New]%20The%20Ordinary%20Glycolic%20Acid%207%%20Exfoliating%20Toner;Skincare
975;Creatina;Suplementos Naturales ☘️;US$50;https://www.facebook.com/marketplace/item/750973501348516/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=Suplementos%20Naturales%20☘️;Creatina
